import time: self [us] | cumulative | imported package
import time:       384 |        384 |   _io
import time:        89 |         89 |   marshal
import time:       503 |        503 |   posix
import time:      7660 |       8634 | _frozen_importlib_external
import time:     10943 |      10943 |   time
import time:       563 |      11505 | zipimport
import time:       114 |        114 |     _codecs
import time:      1017 |       1130 |   codecs
import time:       920 |        920 |   encodings.aliases
import time:      2246 |       4295 | encodings
import time:       365 |        365 | encodings.utf_8
import time:       148 |        148 | _signal
import time:        61 |         61 |     _abc
import time:       289 |        349 |   abc
import time:      6316 |       6665 | io
import time:       172 |        172 |       _stat
import time:       460 |        632 |     stat
import time:      5771 |       5771 |     _collections_abc
import time:       116 |        116 |       errno
import time:       164 |        164 |       genericpath
import time:       307 |        587 |     posixpath
import time:      2127 |       9115 |   os
import time:       169 |        169 |   _sitebuiltins
import time:       350 |        350 |   sitecustomize
import time:      1441 |      11074 | site
import time:      5410 |       5410 | linecache
import time:      2363 |       2363 |   app
import time:      2527 |       2527 |     starlette
import time:       738 |        738 |       __future__
import time:      1186 |       1186 |       warnings
import time:      2753 |       4676 |     starlette.status
import time:       420 |        420 |           itertools
import time:       684 |        684 |           keyword
import time:       329 |        329 |             _operator
import time:      2504 |       2832 |           operator
import time:      1072 |       1072 |           reprlib
import time:       223 |        223 |           _collections
import time:      2839 |       8067 |         collections
import time:       130 |       8197 |       collections.abc
import time:       156 |        156 |           _functools
import time:      1590 |       1745 |         functools
import time:      1130 |       1130 |         types
import time:      4937 |       7811 |       enum
import time:       616 |        616 |         copyreg
import time:        88 |         88 |         _typing
import time:      8183 |       8885 |       typing
import time:      3101 |       3101 |         annotated_doc.main
import time:      3219 |       6320 |       annotated_doc
import time:      4209 |       4209 |         contextlib
import time:       776 |        776 |           email
import time:      2561 |       2561 |           binascii
import time:       239 |        239 |               _sre
import time:       735 |        735 |                 re._constants
import time:      2479 |       3213 |               re._parser
import time:       938 |        938 |               re._casefix
import time:      3433 |       7822 |             re._compiler
import time:      2430 |      10251 |           re
import time:       782 |        782 |           quopri
import time:      2341 |       2341 |               _datetime
import time:       763 |       3104 |             datetime
import time:       611 |        611 |               urllib
import time:      3288 |       3288 |               math
import time:      2434 |       2434 |               ipaddress
import time:      3509 |       9841 |             urllib.parse
import time:      1438 |       1438 |             email._parseaddr
import time:      3134 |      17515 |           email.utils
import time:      6572 |       6572 |           email.errors
import time:       145 |        145 |                   _string
import time:      3949 |       4094 |                 string
import time:      1431 |       5524 |               email.quoprimime
import time:      2052 |       2052 |                     _struct
import time:       874 |       2925 |                   struct
import time:      1306 |       4231 |                 base64
import time:       930 |       5160 |               email.base64mime
import time:       522 |        522 |                 email.encoders
import time:       873 |       1394 |               email.charset
import time:      2688 |      14765 |             email.header
import time:      4260 |      19025 |           email._policybase
import time:      1003 |       1003 |           email._encoded_words
import time:       685 |        685 |           email.iterators
import time:      2415 |      61581 |         email.message
import time:      4091 |       4091 |             _ast
import time:      6212 |      10303 |           ast
import time:      3076 |       3076 |               _opcode
import time:       608 |        608 |               _opcode_metadata
import time:      2196 |       5880 |             opcode
import time:      3831 |       9710 |           dis
import time:       673 |        673 |             importlib
import time:       240 |        912 |           importlib.machinery
import time:       938 |        938 |             token
import time:       134 |        134 |             _tokenize
import time:      4394 |       5465 |           tokenize
import time:      1442 |       1442 |             _weakrefset
import time:      1872 |       3314 |           weakref
import time:     10876 |      40579 |         inspect
import time:      2159 |       2159 |               _json
import time:      4513 |       6671 |             json.scanner
import time:      1496 |       8167 |           json.decoder
import time:      1191 |       1191 |           json.encoder
import time:       934 |      10290 |         json
import time:     14410 |      14410 |             anyio._core
import time:      4574 |      18983 |           anyio._core._contextmanagers
import time:      2216 |       2216 |             threading
import time:      2002 |       2002 |               _contextvars
import time:      1201 |       3203 |             contextvars
import time:      2657 |       2657 |               textwrap
import time:      2439 |       5095 |             anyio._core._exceptions
import time:       491 |        491 |             sniffio
import time:      1790 |      12793 |           anyio._core._eventloop
import time:       904 |        904 |                   fnmatch
import time:      2148 |       3051 |                 glob
import time:      1834 |       4885 |               pathlib._abc
import time:       179 |        179 |                   _winapi
import time:       135 |        135 |                   nt
import time:       132 |        132 |                   nt
import time:       125 |        125 |                   nt
import time:       113 |        113 |                   nt
import time:       109 |        109 |                   nt
import time:       109 |        109 |                   nt
import time:       908 |        908 |                   nt
import time:       681 |       2487 |                 ntpath
import time:       189 |        189 |                 pwd
